station,date,time,usage_kwh,peak_kw
설화명곡,2026-09-04,00:15,109.0,435.8
설화명곡,2026-09-04,00:30,61.9,247.7
설화명곡,2026-09-04,00:45,59.5,238.1
설화명곡,2026-09-04,01:00,60.5,241.9
설화명곡,2026-09-04,01:15,52.3,209.3
설화명곡,2026-09-04,01:30,55.7,222.7
설화명곡,2026-09-04,01:45,63.4,253.4
설화명곡,2026-09-04,02:00,57.6,230.4
설화명곡,2026-09-04,02:15,54.2,217.0
설화명곡,2026-09-04,02:30,49.0,195.8
설화명곡,2026-09-04,02:45,51.8,207.4
설화명곡,2026-09-04,03:00,43.7,174.7
설화명곡,2026-09-04,03:15,43.2,172.8
설화명곡,2026-09-04,03:30,51.8,207.4
설화명곡,2026-09-04,03:45,52.8,211.2
설화명곡,2026-09-04,04:00,59.0,236.2
설화명곡,2026-09-04,04:15,52.3,209.3
설화명곡,2026-09-04,04:30,55.7,222.7
설화명곡,2026-09-04,04:45,139.2,556.8
설화명곡,2026-09-04,05:00,189.1,756.5
설화명곡,2026-09-04,05:15,192.0,768.0
설화명곡,2026-09-04,05:30,216.5,865.9
설화명곡,2026-09-04,05:45,230.4,921.6
설화명곡,2026-09-04,06:00,265.0,1059.8
설화명곡,2026-09-04,06:15,251.5,1006.1
설화명곡,2026-09-04,06:30,241.4,965.8
설화명곡,2026-09-04,06:45,210.2,841.0
설화명곡,2026-09-04,07:00,209.3,837.1
설화명곡,2026-09-04,07:15,229.9,919.7
설화명곡,2026-09-04,07:30,255.8,1023.4
설화명곡,2026-09-04,07:45,256.8,1027.2
설화명곡,2026-09-04,08:00,242.9,971.5
설화명곡,2026-09-04,08:15,238.6,954.2
설화명곡,2026-09-04,08:30,239.0,956.2
설화명곡,2026-09-04,08:45,226.6,906.2
설화명곡,2026-09-04,09:00,211.2,844.8
설화명곡,2026-09-04,09:15,219.4,877.4
설화명곡,2026-09-04,09:30,237.6,950.4
설화명곡,2026-09-04,09:45,289.9,1159.7
설화명곡,2026-09-04,10:00,319.7,1278.7
설화명곡,2026-09-04,10:15,328.3,1313.3
설화명곡,2026-09-04,10:30,354.7,1418.9
설화명곡,2026-09-04,10:45,327.4,1309.4
설화명곡,2026-09-04,11:00,314.9,1259.5
설화명곡,2026-09-04,11:15,298.1,1192.3
설화명곡,2026-09-04,11:30,299.0,1196.2
설화명곡,2026-09-04,11:45,274.6,1098.2
설화명곡,2026-09-04,12:00,283.2,1132.8
설화명곡,2026-09-04,12:15,277.0,1107.8
설화명곡,2026-09-04,12:30,287.0,1148.2
설화명곡,2026-09-04,12:45,326.4,1305.6
설화명곡,2026-09-04,13:00,318.7,1274.9
설화명곡,2026-09-04,13:15,287.5,1150.1
설화명곡,2026-09-04,13:30,289.9,1159.7
설화명곡,2026-09-04,13:45,303.8,1215.4
설화명곡,2026-09-04,14:00,326.9,1307.5
설화명곡,2026-09-04,14:15,318.7,1274.9
설화명곡,2026-09-04,14:30,319.2,1276.8
설화명곡,2026-09-04,14:45,308.6,1234.6
설화명곡,2026-09-04,15:00,310.1,1240.3
설화명곡,2026-09-04,15:15,301.0,1203.8
설화명곡,2026-09-04,15:30,318.2,1273.0
설화명곡,2026-09-04,15:45,283.2,1132.8
설화명곡,2026-09-04,16:00,298.1,1192.3
설화명곡,2026-09-04,16:15,295.7,1182.7
설화명곡,2026-09-04,16:30,271.7,1086.7
설화명곡,2026-09-04,16:45,274.6,1098.2
설화명곡,2026-09-04,17:00,300.5,1201.9
설화명곡,2026-09-04,17:15,311.0,1244.2
설화명곡,2026-09-04,17:30,332.6,1330.6
설화명곡,2026-09-04,17:45,354.7,1418.9
설화명곡,2026-09-04,18:00,331.7,1326.7
설화명곡,2026-09-04,18:15,317.3,1269.1
설화명곡,2026-09-04,18:30,303.8,1215.4
설화명곡,2026-09-04,18:45,297.1,1188.5
설화명곡,2026-09-04,19:00,306.2,1225.0
설화명곡,2026-09-04,19:15,276.0,1104.0
설화명곡,2026-09-04,19:30,296.2,1184.6
