date,"1호선
설화명곡
(1_1_total_kwh)","1호선
월배기지
(1_2_total_kwh)","1호선
서부정류장
(1_3_total_kwh)","1호선
반월당
(1_4_total_kwh)","1호선
신천
(1_5_total_kwh)","1호선
방촌
(1_6_total_kwh)","1호선
안심
(1_7_total_kwh)","2호선
문양기지
(2_1_total_kwh)","2호선
대실
(2_2_total_kwh)","2호선
성서산단
(2_3_total_kwh)","2호선
죽전
(2_4_total_kwh)","2호선
반고개
(2_5_total_kwh)","2호선
대구은행
(2_6_total_kwh)","2호선
만촌
(2_7_total_kwh)","2호선
대공원
(2_8_total_kwh)","2호선
사월
(2_9_total_kwh)","2호선
영남대
(2_10_total_kwh)","3호선
칠곡기지
(3_1_total_kwh)","3호선
팔달시장
(3_2_total_kwh)","3호선
남산
(3_3_total_kwh)","3호선
범물기지
(3_4_total_kwh)","1호선
설화명곡
(1_1_peak_kw)","1호선
월배기지
(1_2_peak_kw)","1호선
서부정류장
(1_3_peak_kw)","1호선
반월당
(1_4_peak_kw)","1호선
신천
(1_5_peak_kw)","1호선
방촌
(1_6_peak_kw)","1호선
안심
(1_7_peak_kw)","2호선
문양기지
(2_1_peak_kw)","2호선
대실
(2_2_peak_kw)","2호선
성서산단
(2_3_peak_kw)","2호선
죽전
(2_4_peak_kw)","2호선
반고개
(2_5_peak_kw)","2호선
대구은행
(2_6_peak_kw)","2호선
만촌
(2_7_peak_kw)","2호선
대공원
(2_8_peak_kw)","2호선
사월
(2_9_peak_kw)","2호선
영남대
(2_10_peak_kw)","3호선
칠곡기지
(3_1_peak_kw)","3호선
팔달시장
(3_2_peak_kw)","3호선
남산
(3_3_peak_kw)","3호선
범물기지
(3_4_peak_kw)","휴일
(is_holiday)","승객수
(passengers)"
2023-01-01,15798,60298,39472,22312,42158,27115,52331,33035,8492,30691,27084,28461,23953,19016,29480,19912,19378,28443,26734,30154,21646,1167,3192,2424,1438,2621,1832,2723,1711,532,1932,1754,1817,1448,1390,1771,1261,1241,1518,1619,1774,1227,1,98575
2023-01-02,16056,64659,35744,24079,38870,28626,54948,35044,9207,29608,30021,31760,22951,19198,29698,19318,20571,31720,26026,32354,22023,1171,3703,2988,1636,2586,1809,3009,1814,664,2054,2167,2021,1839,1294,2119,1442,1320,1786,1872,2232,1460,0,161021
2023-01-03,14918,67000,38263,24173,42381,28132,53310,36238,9359,31726,28947,32266,22093,20364,28153,21308,20200,32877,25754,33450,21209,1052,4018,2916,1674,2769,1864,3060,1889,570,2172,1846,2206,1766,1483,1908,1551,1370,1757,1737,2134,1431,0,163226
2023-01-04,15309,65770,38286,25013,36947,28748,56472,36054,9246,33214,26759,31873,22343,22194,30142,18428,20871,33666,24694,32094,21482,1020,3842,2969,1701,2517,2204,3139,1872,618,2230,1934,2141,1590,1584,1956,1371,1459,1786,1794,2195,1374,0,165058
2023-01-05,16666,68174,43539,30059,35282,33496,60111,36556,10079,34918,31451,35408,25411,23336,32042,21275,22327,33665,24425,32025,22028,1258,3962,3382,2039,2275,2277,3661,1956,666,2333,2081,2503,1634,1495,2306,1432,1493,1846,1794,2131,1403,0,165119
2023-01-06,17042,66956,45145,28885,33656,35470,57115,34874,10371,35092,30154,36379,24517,22511,32040,20208,22812,32114,24549,31887,22019,1336,4166,2962,2262,2519,2373,3345,1846,668,2285,2340,2237,1932,1663,2287,1582,1620,1748,1837,1993,1411,0,181210
2023-01-07,16372,60068,43454,27522,32046,34911,55263,32728,10071,34976,26052,35368,24132,22065,32426,20072,22021,30185,22711,31283,19837,1064,3540,3079,1743,2162,2317,3082,1685,626,2203,1656,2222,1619,1474,2047,1415,1536,1555,1498,1921,1164,1,155568
2023-01-08,17078,56523,39660,27691,30254,30954,53260,34855,9096,29595,24353,33910,19136,23370,27532,19673,19222,30723,21478,32302,19353,1296,3437,2762,1699,2112,1962,3120,1728,588,2011,1630,2033,1450,1618,1810,1467,1238,1521,1475,1866,1218,1,116164
2023-01-09,18268,63890,43910,27568,32175,31443,56886,35067,9636,32648,27810,35228,23172,23444,30684,39862,171,31922,24229,31630,20858,1288,4138,3242,1980,2271,2319,3312,1889,651,2354,1817,2359,1601,1682,2134,2809,386,1820,1872,2177,1388,0,167114
2023-01-10,16596,63532,43661,26796,31750,32584,54135,33222,9451,33052,27062,34514,21844,21709,31355,40344,0,30746,24286,31018,21333,1029,3706,3058,1983,2020,2216,2949,1714,591,2174,2042,2232,1609,1426,2184,2734,0,1820,1740,2033,1377,0,170751
